conv_id,speaker,word_pos,pause_ms,pause_mark,pause_len,iu_len,iu_len_prev,on
57,57_JED,2970,1001.9999999999527,0,0,1,2,1365.966
57,57_JED,2971,0.0,1,2,4,1,1366.323
57,57_JED,2975,0.0,0,0,4,4,1367.352
57,57_JED,2979,0.0,1,3,5,4,1368.402
57,57_JED,2984,0.0,0,0,3,5,1369.813
57,57_JED,2987,0.0,0,0,2,3,1370.406
57,57_JED,2989,0.0,0,0,5,2,1371.094
57,57_JED,2994,0.0,1,2,6,5,1372.619
57,57_JED,3006,0.0,0,0,4,5,1376.351
57,57_JED,3010,0.0,0,0,9,4,1377.252
57,57_JED,3019,0.0,1,3,3,9,1379.403
57,57_JED,3022,0.0,0,0,6,3,1381.036
57,57_JED,3035,0.0,1,3,5,4,1384.288
57,57_JED,3040,0.0,1,3,4,5,1386.311
57,57_JED,3044,0.0,1,3,8,4,1387.971
57,57_JED,3052,0.0,1,3,3,8,1393.902
57,57_JED,3058,0.0,0,0,2,1,1398.9
57,57_JED,3060,0.0,0,0,2,2,1399.4
57,57_JED,3064,0.0,0,0,8,1,1400.424
57,57_NICK,3072,535.9999999998308,0,0,3,0,1401.474
57,57_NICK,3075,0.0,0,0,3,3,1402.207
57,57_JED,3082,0.0,0,0,8,4,1403.512
57,57_JED,3096,0.0,0,0,3,6,1408.195
57,57_JED,3099,0.0,1,3,3,3,1409.025
57,57_JED,3102,0.0,1,3,5,3,1410.408
57,57_JED,3107,0.0,0,0,5,5,1412.031
57,57_JED,3112,0.0,0,0,2,5,1413.196
57,57_NICK,3121,0.0,0,0,4,7,1414.611
57,57_NICK,3125,0.0,1,3,3,4,1415.561
57,57_NICK,3136,0.0,1,3,1,3,1425.329
57,57_NICK,3137,0.0,1,3,5,1,1425.93
57,57_NICK,3152,0.0,0,0,4,1,1430.835
57,57_NICK,3156,0.0,0,0,2,4,1431.649
57,57_NICK,3160,1.9999999999527063,0,0,2,1,1433.984
57,57_NICK,3168,0.0,1,3,1,3,1439.065
57,57_NICK,3169,0.0,0,0,8,1,1440.905
57,57_NICK,3177,0.0,0,0,2,8,1442.805
57,57_NICK,3179,0.0,0,0,1,2,1443.155
57,57_NICK,3180,0.0,0,0,4,1,1443.355
57,57_NICK,3190,0.0,0,0,4,5,1447.115
57,57_NICK,3194,0.0,1,3,5,4,1448.2
57,57_NICK,3202,0.0,1,2,5,2,1454.226
57,57_JED,3211,0.0,0,0,3,4,1456.023
57,57_JED,3227,0.0,1,3,5,7,1461.049
57,57_JED,3232,0.0,0,0,7,5,1462.7
57,57_JED,3239,0.0,0,0,3,7,1463.775
57,57_JED,3242,0.0,0,0,8,3,1464.3
57,57_JED,3250,0.0,0,0,4,8,1465.766
57,57_JED,3254,0.0,0,0,6,4,1467.016
57,57_JED,3260,0.0,0,0,4,6,1468.367
57,57_JED,3264,0.0,0,0,2,4,1469.915
57,57_JED,3266,0.0,0,0,4,2,1470.925
57,57_JED,3270,0.0,0,0,3,4,1472.105
57,57_JED,3273,0.0,1,3,6,3,1474.055
57,57_JED,3279,0.0,0,0,9,6,1476.732
57,57_JED,3288,0.0,0,0,5,9,1478.846
57,57_JED,3293,0.0,0,0,11,5,1480.121
