participant,n,beta,p
A3BFHFBYDCCIGV,4758,0.0026509114677253573,0.519606850678065
A3CT5E0WZJL8PG,4618,0.025803064935703324,2.3250495215967323e-05
A3CWWX1NWA00S3,4839,0.005341598553599567,0.1946098407892868
A3EQVDHHKZRC0K,8796,0.009426035648179088,0.0007629113172067256
A3EZCOCQU4QNCO,2901,0.006785096827399965,0.22456197039038342
A3GLUDQZGEJL5G,4851,0.0008139847518335748,0.8337446577353173
A3GYYRNHP635XM,4861,-0.004775007514056611,0.3592622586914819
A3M0KT6KUJEZD1,4962,-0.0002685109206057336,0.958768639199024
A3NMC1E54BML7K,4930,0.0063005824771947775,0.19632945357161707
A3NOO9K3CY1YU5,7824,0.013638725231906734,2.0437042827220375e-05
A3O1NDWT4BXNX4,4862,-0.005906707425287486,0.258438975495624
A3OQ1JKWS02NMF,4958,-0.0020665172232866152,0.5968193295501315
A3P9YDDTO87QGZ,4849,0.00726734921496474,0.06406193434168081
A3QJPB0NZU5PY1,4970,0.008688252488277936,0.051288889248271366
A3RILJPBGAOWN4,4858,0.005230441740971727,0.2421746632563886
A3S3YW6II31OZV,9835,-0.005131321343529629,0.11327016622286286
A3S82OHUGFBR7L,3003,0.0011252570614319612,0.8544038031361263
A3SWH7DHWHP0BO,4972,0.002533908197336454,0.4977355805324157
A3T8CCUYDNT61C,4955,-0.0070244846198638765,0.2174874661130147
A3TK9CLBA65ZZE,3936,-0.0009423882863672656,0.7752944015999929
A3U3DA0O35IORB,4860,0.009688746331786693,0.054896210224287846
A3UDP95JGEX3H1,4969,0.003435509513727744,0.4261634295780539
A3ULFB0PQ1471E,4844,0.003702649022930101,0.4711858305044382
A40F6EHXE5HXU,4857,0.015950798130851568,0.00013580785866070853
A5E076UK5CA9J,3239,0.008427940521993374,0.2380182267131695
A5FJBKJ8K5I6S,4969,-0.007826580761575486,0.09722633507941394
A5U9HUMS31DIR,4856,0.021237049132710135,6.656307786648108e-06
A7LIT8S8LGRAH,9832,0.0049908418583689,0.2159844843641677
A7MOPEHSUGVQ,3890,0.0030482115243920006,0.5444457681656936
A7ZNPY1T3SX8I,942,0.00023196751720567545,0.9839760855500779
A8L4UTQ8RXDFS,4969,0.01751922042487305,1.4420013032482961e-05
A98XHW6B1VSSQ,2917,0.010598375082833402,0.013641427186527671
AA8O3Z9L0FSW1,4880,0.027677470857187608,3.2890964612853114e-06
ABMVPQ5CQFHGS,4864,0.0045989125696143315,0.2798494082844824
ACB0CSL0QMRGQ,3911,0.0008705061880482359,0.814776381434759
ACPUTK2MNMYHB,4853,-0.00661288567522272,0.09929749362018396
ACTW5YEWV9OR0,4967,0.015611496971151956,0.010612037715628053
ACUXGYJAQUZAE,9809,0.001550609943013261,0.5333597643771985
ACYV5TUADOWEA,3934,0.008411972834632558,0.012228764354366305
AER86HM7LU5G,4891,0.0023636496705429187,0.677206693463996
AEUGCBFJPU0MX,7938,0.013760876096695088,4.668321088005157e-05
AEX85SLEN727,4930,0.00222921940206864,0.6136071471571943
AHP7FGH4N2TX5,4863,0.01856364981854295,0.0007750807745111348
AJDL05304W8E,8470,0.0008830513615573873,0.8056323914468368
AK7YVYGMIF6T0,4972,-0.0009597291410133081,0.8002924382151289
AK9FN3FCOY9Q2,4973,0.0023130190574042926,0.7059961100688815
AKEZ83FQITFD8,5921,-0.00225523555593286,0.4459510201970217
ALE5RDP8XZL3,8822,0.0073013245993790825,0.001653087642176732
AM7UBKT777C3R,4799,0.010340021588082797,0.25067552397988113
AMYL22GHCON9A,4866,0.0038169291410963344,0.2824607236518776
ANC446SIU64J6,389,-0.006841272813162963,0.6725367652744757
ANDPWG91K8OEX,3623,0.003603778453964108,0.541147636212962
ANL7UI5ES4L18,4973,0.008812056032413342,0.07435723625273594
AO8HNJRGZQD0A,1843,0.023834766265894206,0.0019161134594897892
AOTSROWZG1XS1,7663,0.00985850252027368,0.012648691502125347
AOVB3KCIIJLRJ,3934,0.0001705730908708597,0.9807645162522762
AOZ06WXWI630,4968,0.008058285822317032,0.028368225149935117
