story_id,layer,window,ahead0,ahead1,ahead2,ahead3
1,L6,3,0.26708592257433,0.03160910261471717,0.023541759307790604,0.03035074555898358
1,L6,3,0.49879587767586836,0.03338024639012835,0.1021403916450267,0.011665474234733481
1,L6,3,0.7174289314288446,0.019969676627196193,0.000639553459036649,0.031669271114568937
1,L6,3,0.18422101339587257,0.021924208346100222,0.05849791822653868,0.0003052185007448441
1,L6,3,0.26012006040532404,0.20471395464783562,0.028544451273198226,0.02903239762862159
1,L6,3,0.5402795123538259,0.17628999731364997,0.0155216881451744,0.027447928769205585
1,L6,3,0.48630491826234196,0.02663558523090339,0.012165562056287129,0.05794117170836348
1,L6,3,0.5315214517707293,0.05092218672493132,0.04485086074409971,0.011638153160601019
1,L6,3,0.25896673019870503,0.05847621870980186,0.20471684057538525,0.18879801249769373
1,L6,3,0.6244018671220499,0.12875762648545666,0.05894730175117192,0.07613755377981302
1,L6,3,0.5705664580799067,0.06841186383334383,0.2557258805405994,0.3789713102899338
1,L6,3,0.38964530601483155,0.12866215128553796,0.12153825676751484,0.013280995257939859
1,L6,3,0.6912763399721594,0.17790580651821628,0.06643514819490423,0.06212496068338195
1,L6,3,0.6448164787989693,0.037515368371209744,0.05476781282986068,0.04225128278330592
1,L6,3,0.19966496251499566,0.12037475421915869,0.02837610613088678,0.06779936255592518
1,L6,3,0.31219349290763027,0.08916535344626167,0.023169658047326423,0.0024005106387530494
1,L6,3,0.4133823501400527,0.12556060947445066,0.024487468721465278,0.07375771614376911
1,L6,3,0.5186122422267927,0.002961520250868658,0.048204507106400445,0.048053176702909005
1,L6,3,0.5683964085904128,0.10881231482518727,0.046054271425268516,0.07113688453197703
1,L6,3,0.4230436005416882,0.1582802724251413,0.032818022047625565,0.004288325639808814
1,L6,3,0.3662815253528585,0.015618605081352495,0.061380510767467436,0.005447342704127975
1,L6,3,0.3851684774139514,0.07304955042983442,0.026306930794145124,0.004238137708115397
1,L6,3,0.4421877268609413,0.11569915982969735,0.0023974152320456097,0.08105056639796915
1,L6,3,0.5942538761931642,0.029529465018192248,0.02103073180798411,0.04678445158745119
1,L6,3,0.31532557948574863,0.18161775950648795,0.12449992623840697,0.10158883466615219
1,L6,3,0.37556124723285933,0.15094722114065076,0.013390162116671652,0.020405839935347305
1,L6,3,0.5524125001265485,0.06054974130952634,0.015411207902549736,0.08236685140901055
1,L6,3,0.2798886955807907,0.03169976530472216,0.0019363224940268937,0.07541990249435825
1,L6,3,0.5165269026222673,0.11530446657870622,0.05012733071497124,0.07684996524204898
1,L6,3,0.5077035220624077,0.0580282497306733,0.018827535302889654,0.09777029193989767
1,L6,3,0.4052071166113835,0.10715132168090136,0.07133054933559914,0.041090454281058966
1,L6,3,0.5035568330999612,0.04196670346146773,0.041823583393792226,0.1097785366726943
1,L6,3,0.5326595222418251,0.07447332165105473,0.0867414743887035,0.02166317389881308
1,L6,3,0.38377186578126465,0.10506620019118913,0.113677323548861,0.2031579130909251
1,L6,3,0.43147956056772396,0.20332323536806973,0.06880533023166831,0.03824152865729643
1,L6,3,0.3196009626722882,0.11428092856076782,0.03945464188565848,0.006939172958863231
1,L6,3,0.24318924577958112,0.007320445235475363,0.03228744024594603,0.0794627134344774
1,L6,3,0.584310320057707,0.0015525749672797467,0.007345400208904406,0.1468672399869467
1,L6,3,0.371664601414332,0.021934751122930463,0.12555957656082037,0.0789404340359858
1,L6,3,0.3842102114520262,0.11744146633977888,0.04668752626227747,0.00921801280698715
1,L6,3,0.5627360545260376,0.054023245979541515,0.057738311550452705,0.03448384737801158
1,L6,3,0.5055711404292568,0.0563224979861262,0.01269459693677188,0.020175844379908332
1,L6,3,0.28417109926990153,0.04767259511241118,0.13616270067291467,0.10778017652123045
1,L6,3,0.4427818697971475,0.03569240617718364,0.11764356019041808,0.09410452515033844
1,L6,3,0.2994716751236709,0.01714980739695633,0.056615707454150906,0.06986894946406157
1,L6,3,0.4604159527441748,0.20962148990538593,0.025406443576455075,0.01074271859995103
1,L6,3,0.5943463178616459,0.1136381137714905,0.05749031468296775,0.14127097566361982
1,L6,3,0.3471758191950013,0.04269750800079115,0.12361285334194516,0.19121053854143324
