item,Type,WordPosition,pres,surprisal,L6_k3,L12_k5,L6_k5,L6_k7
8,MVRR_AMB,13,B_prefix,6.515600908085997,97.1981135826932,87.8163691481722,73.41998554507128,66.01067634439484
8,MVRR_AMB,1,C_droptok0,0.0,,,,
8,MVRR_AMB,2,C_droptok0,16.438171938388802,,,,
8,MVRR_AMB,3,C_droptok0,11.242442597286283,,,,
8,MVRR_AMB,4,C_droptok0,2.9618662950676953,113.9655841586319,63.25018601388142,113.9655841586319,113.9655841586319
8,MVRR_AMB,5,C_droptok0,8.250757606246692,97.44363223466699,87.14007211302327,97.44363223466699,97.44363223466699
8,MVRR_AMB,6,C_droptok0,17.201388291220532,108.0796202837897,43.37411814911602,87.76790271482953,87.76790271482953
8,MVRR_AMB,7,C_droptok0,8.471773198801092,90.88960734809311,41.160948723943264,71.59649892246455,71.59649892246455
8,MVRR_AMB,8,C_droptok0,4.1504920537676355,77.34485907162029,47.69236846319893,58.87194903949418,57.23739889027961
8,MVRR_AMB,9,C_droptok0,2.780482556560773,89.98247175840106,55.41396174513968,72.09473036538822,66.73560626351089
8,MVRR_AMB,10,C_droptok0,1.3134807776687418,82.55129915191186,121.97206066188632,69.94258002068436,62.0172474386125
8,MVRR_AMB,11,C_droptok0,7.036514687735435,82.5955685689332,40.60114602430559,71.97339124541067,72.25969526463766
8,MVRR_AMB,12,C_droptok0,6.626408986071603,101.31436199186886,128.69974548649847,79.2434990337309,76.64871233582471
8,MVRR_AMB,13,C_droptok0,7.166643124736318,98.3715067832214,64.24009422613246,74.01935694649808,65.93492594247365
8,MVRR_UAMB,1,A_isolated,0.0,,,,
8,MVRR_UAMB,2,A_isolated,16.438171938388802,,,,
8,MVRR_UAMB,3,A_isolated,4.582573354593416,,,,
8,MVRR_UAMB,4,A_isolated,4.50295226654997,1957.5158636864962,,,
8,MVRR_UAMB,5,A_isolated,8.55854876512043,89.754143943076,,,
8,MVRR_UAMB,6,A_isolated,9.250115769741507,90.05775825362893,84.6005006943226,1183.625637905044,
8,MVRR_UAMB,7,A_isolated,8.742537180874669,90.00131369354122,58.591159830096096,85.71184515580836,
8,MVRR_UAMB,8,A_isolated,10.362935703524743,105.44849322316628,61.68042970215205,83.11591140417484,840.368274799046
8,MVRR_UAMB,9,A_isolated,7.574284486995938,87.98499227157838,48.193620601827455,68.65759326311257,64.30486252914491
8,MVRR_UAMB,10,A_isolated,4.3170142554655495,76.77631633212377,36.581107142128815,61.39884546952956,57.18856870802697
8,MVRR_UAMB,11,A_isolated,2.11921046787183,89.34240106215131,60.41747424842867,71.45922134579762,64.61585822041309
8,MVRR_UAMB,12,A_isolated,0.977394431135777,79.96634105995484,116.10907833093337,67.57480241621482,61.81000440350271
8,MVRR_UAMB,13,A_isolated,7.47685081183733,81.69026048232698,35.71635017699654,72.11427576700956,71.50412446575127
8,MVRR_UAMB,14,A_isolated,5.481193712241247,100.3225288140526,141.3578232127367,78.35054851338526,76.40035510150967
8,MVRR_UAMB,15,A_isolated,3.45991618516348,97.06139605948022,75.53771027960387,74.03793582955805,66.24680631765926
8,MVRR_UAMB,1,B_prefix,72.44605526103518,,,,
8,MVRR_UAMB,2,B_prefix,17.50269088864252,,,,
8,MVRR_UAMB,3,B_prefix,4.825022800959545,,,,
8,MVRR_UAMB,4,B_prefix,3.7827064669669155,72.31897462053831,,,
8,MVRR_UAMB,5,B_prefix,9.572605253888584,88.61014985893522,,,
8,MVRR_UAMB,6,B_prefix,7.581912261527005,85.24799959835661,38.92639754300515,67.7828331233604,
8,MVRR_UAMB,7,B_prefix,7.908893932514618,88.59415482049718,64.69198488360028,86.44321120291649,
8,MVRR_UAMB,8,B_prefix,8.792043418821434,104.53324658987704,66.43203623501927,80.9869433663229,68.84137757252765
8,MVRR_UAMB,9,B_prefix,7.165414308695904,86.96874254929118,39.89322830588483,66.74250665663267,62.94511147460433
8,MVRR_UAMB,10,B_prefix,3.7432835718402373,75.89321232904203,31.928549694839877,59.97776604210789,57.014628542351204
8,MVRR_UAMB,11,B_prefix,1.772684860422818,89.1630275271236,74.75724335276423,70.17555329352341,63.310630211635164
8,MVRR_UAMB,12,B_prefix,0.8314777288117119,78.60649266929603,140.16319160075565,66.8983236807632,60.53057229483879
8,MVRR_UAMB,13,B_prefix,7.393878125893869,81.9036344469857,37.08219691862955,72.31429178782729,71.61229606699914
8,MVRR_UAMB,14,B_prefix,4.790506226896681,99.82770751233461,139.35233752419296,78.3382781228126,76.6905290233782
8,MVRR_UAMB,15,B_prefix,3.3894373508745987,95.91661791245802,102.57132955590487,73.31643405943284,65.9498200108822
8,MVRR_UAMB,1,C_droptok0,0.0,,,,
8,MVRR_UAMB,2,C_droptok0,16.438171938388802,,,,
8,MVRR_UAMB,3,C_droptok0,4.582573354593416,,,,
8,MVRR_UAMB,4,C_droptok0,4.50295226654997,99.27838564921817,99.1042302440721,99.27838564921817,99.27838564921817
8,MVRR_UAMB,5,C_droptok0,8.55854876512043,89.754143943076,77.71772365375749,89.754143943076,89.754143943076
8,MVRR_UAMB,6,C_droptok0,9.250115769741507,90.05775825362893,38.996527429092595,74.46027641290992,74.46027641290992
8,MVRR_UAMB,7,C_droptok0,8.742537180874669,90.00131369354122,58.591159830096096,85.71184515580836,85.71184515580836
8,MVRR_UAMB,8,C_droptok0,10.362935703524743,105.44849322316628,61.68042970215205,83.11591140417484,76.12077942949054
8,MVRR_UAMB,9,C_droptok0,7.574284486995938,87.98499227157838,48.193620601827455,68.65759326311257,64.30486252914491
8,MVRR_UAMB,10,C_droptok0,4.3170142554655495,76.77631633212377,36.581107142128815,61.39884546952956,57.18856870802697
8,MVRR_UAMB,11,C_droptok0,2.11921046787183,89.34240106215131,60.41747424842867,71.45922134579762,64.61585822041309
8,MVRR_UAMB,12,C_droptok0,0.977394431135777,79.96634105995484,116.10907833093337,67.57480241621482,61.81000440350271
8,MVRR_UAMB,13,C_droptok0,7.47685081183733,81.69026048232698,35.71635017699654,72.11427576700956,71.50412446575127
8,MVRR_UAMB,14,C_droptok0,5.481193712241247,100.3225288140526,141.3578232127367,78.35054851338526,76.40035510150967
8,MVRR_UAMB,15,C_droptok0,3.45991618516348,97.06139605948022,75.53771027960387,74.03793582955805,66.24680631765926
8,NPS_AMB,1,A_isolated,0.0,,,,
8,NPS_AMB,2,A_isolated,16.438188448723285,,,,
8,NPS_AMB,3,A_isolated,14.137584783298735,,,,
8,NPS_AMB,4,A_isolated,2.660746687186228,1950.8886781918711,,,
8,NPS_AMB,5,A_isolated,8.792483694407643,96.33390039595791,,,
8,NPS_AMB,6,A_isolated,14.191120918720516,102.30175067703824,75.7976430355304,1162.028831974204,
8,NPS_AMB,7,A_isolated,7.20975625160256,90.89305370581948,46.416603396963794,72.48021494606326,
8,NPS_AMB,8,A_isolated,3.3505316075790654,77.85151770863679,35.75266480377002,59.0970480826893,839.40998443787
8,NPS_AMB,9,A_isolated,2.8773701868028922,89.23332336996812,62.93322756255453,71.35100738418643,66.64365774654866
8,NPS_AMB,10,A_isolated,1.0784797279288303,82.02181072761373,116.5079345126494,69.98294457380753,60.65714098962018
8,NPS_AMB,11,A_isolated,5.908364908384894,65.49475745875917,50.441755369302555,61.9393453078918,59.46718819810967
8,NPS_AMB,12,A_isolated,6.502874535887451,87.16793763033533,109.49294609236232,68.71964103447121,65.21757487644523
8,NPS_AMB,1,B_prefix,72.44605526103518,,,,
8,NPS_AMB,2,B_prefix,17.50269088864252,,,,
8,NPS_AMB,3,B_prefix,11.977772995176515,,,,
8,NPS_AMB,4,B_prefix,2.922303406063215,83.83665868392222,,,
8,NPS_AMB,5,B_prefix,9.309347282629263,102.2242545012088,,,
8,NPS_AMB,6,B_prefix,13.650860122744918,104.49916930688319,33.02584595202454,73.90765787375129,
8,NPS_AMB,7,B_prefix,6.609617975902565,90.7576300991285,48.175707424046045,71.71520999044758,
8,NPS_AMB,8,B_prefix,2.942301204740241,77.85675784437123,32.02404963788867,60.31008321536901,57.349650345916
8,NPS_AMB,9,B_prefix,2.1586816901234007,89.30034200612218,85.71525516031612,70.49216197869039,66.57800638792713
8,NPS_AMB,10,B_prefix,0.8474746090903905,80.2449328378047,130.800037854502,69.38336779028734,59.57033625890417
8,NPS_AMB,11,B_prefix,5.4016943879146115,64.95474437779585,59.92449976130849,61.31663596825351,59.13878849007572
8,NPS_AMB,12,B_prefix,5.385932693910988,85.70002694812138,76.32691054055192,69.14543062212283,67.02458713380277
8,NPS_AMB,1,C_droptok0,0.0,,,,
8,NPS_AMB,2,C_droptok0,16.438188448723285,,,,
8,NPS_AMB,3,C_droptok0,14.137584783298735,,,,
8,NPS_AMB,4,C_droptok0,2.660746687186228,98.8210811685847,76.08783888982927,98.8210811685847,98.8210811685847
8,NPS_AMB,5,C_droptok0,8.792483694407643,96.33390039595791,71.61731879608843,96.33390039595791,96.33390039595791
8,NPS_AMB,6,C_droptok0,14.191120918720516,102.30175067703824,39.51381074082131,81.47386417798707,81.47386417798707
8,NPS_AMB,7,C_droptok0,7.20975625160256,90.89305370581948,46.416603396963794,72.48021494606326,72.48021494606326
8,NPS_AMB,8,C_droptok0,3.3505316075790654,77.85151770863679,35.75266480377002,59.0970480826893,57.901273568745204
