tag,family,lag,term,beta,p,n
ALL,wake_nbhd,7,tee3_par,-0.029978238961005703,0.23354438868911553,1627
ALL,wake_nbhd,7,surprisal,0.06935010676084323,0.08300642542993872,1627
ALL,wake_nbhd,7,ctee_m5,-0.037864938249805566,0.12661521649635032,1627
ALL,wake_nbhd,7,ntee_k100,0.09776707990442442,0.000573282218725238,1627
ALL,wake_nbhd,8,tee3_perp,0.030750021198297645,0.29735203252017384,1627
ALL,wake_nbhd,8,tee3_par,-0.03677246066641667,0.11742933340659475,1627
ALL,wake_nbhd,8,surprisal,0.040076479328144815,0.19129234473473244,1627
ALL,wake_nbhd,8,ctee_m5,-0.0204309992892243,0.38823328136002866,1627
ALL,wake_nbhd,8,ntee_k100,0.10738837194391525,0.00033277048690145435,1627
ALL,wake_nbhd,9,tee3_perp,-0.010300291948268113,0.7655296130841496,1627
ALL,wake_nbhd,9,tee3_par,-0.04607957877164834,0.060365038102116075,1627
ALL,wake_nbhd,9,surprisal,0.06279063665108332,0.04742281466430929,1627
ALL,wake_nbhd,9,ctee_m5,-0.004640156831977311,0.8463081764097071,1627
ALL,wake_nbhd,9,ntee_k100,0.12089229837136545,9.933208529312904e-05,1627
ALL,wake_nbhd,10,tee3_perp,0.036192137403839655,0.23417395383016415,1627
ALL,wake_nbhd,10,tee3_par,-0.044243977044230436,0.08482475900772411,1627
ALL,wake_nbhd,10,surprisal,-0.011126335542814107,0.6776072106345451,1627
ALL,wake_nbhd,10,ctee_m5,-0.0240976246231748,0.38222984127697635,1627
ALL,wake_nbhd,10,ntee_k100,0.15090470205192758,6.17799215298387e-08,1627
PUNCT-FREE,wake_rel,1,tee3_perp,0.10047140077173587,0.012106365710583928,1414
PUNCT-FREE,wake_rel,1,tee3_par,-0.012934790315819834,0.6272436794192913,1414
PUNCT-FREE,wake_rel,1,surprisal,0.10969966879690764,0.002140599647844778,1414
PUNCT-FREE,wake_rel,1,ctee_m5,0.01988399872210407,0.4471390103259526,1414
PUNCT-FREE,wake_rel,1,ntee_k100,0.19972269687899075,8.746024322780087e-13,1414
PUNCT-FREE,wake_rel,2,tee3_perp,-0.01974777485637466,0.5979720969008195,1414
PUNCT-FREE,wake_rel,2,tee3_par,-0.08693367810513443,0.0008173513366098496,1414
PUNCT-FREE,wake_rel,2,surprisal,0.20250651571358186,4.634689258093291e-09,1414
PUNCT-FREE,wake_rel,2,ctee_m5,0.003956129102032451,0.8830240089985834,1414
PUNCT-FREE,wake_rel,2,ntee_k100,0.1876941644560364,1.9797072238460583e-10,1414
PUNCT-FREE,wake_rel,3,tee3_perp,-0.043551775796406275,0.2619113306939146,1414
PUNCT-FREE,wake_rel,3,tee3_par,-0.08502548660620235,0.0012051768163145278,1414
PUNCT-FREE,wake_rel,3,surprisal,0.1473793820917472,8.498138306552823e-06,1414
PUNCT-FREE,wake_rel,3,ctee_m5,-0.025294019832581935,0.3531805798494312,1414
PUNCT-FREE,wake_rel,3,ntee_k100,0.1724455836983252,2.475497208965237e-09,1414
PUNCT-FREE,wake_rel,4,tee3_perp,-0.06574981223310496,0.08330706579202309,1414
PUNCT-FREE,wake_rel,4,tee3_par,-0.060682922451037805,0.0188016545521114,1414
PUNCT-FREE,wake_rel,4,surprisal,0.10312452844097977,0.0005294698243057006,1414
PUNCT-FREE,wake_rel,4,ctee_m5,0.003777070199497329,0.9045007476925938,1414
PUNCT-FREE,wake_rel,4,ntee_k100,0.1687240306455943,5.8328512271041274e-08,1414
PUNCT-FREE,wake_rel,5,tee3_perp,-0.06808191887726794,0.048054978534756806,1414
PUNCT-FREE,wake_rel,5,tee3_par,-0.05272796519692906,0.028568987319762384,1414
PUNCT-FREE,wake_rel,5,surprisal,0.0848438570742602,0.0011646603513063907,1414
PUNCT-FREE,wake_rel,5,ctee_m5,-0.01563168393919349,0.5626878741386918,1414
PUNCT-FREE,wake_rel,5,ntee_k100,0.16756847177558395,6.824368083378406e-09,1414
PUNCT-FREE,wake_rel,6,tee3_perp,-0.07439231583402392,0.02045711356956576,1414
PUNCT-FREE,wake_rel,6,tee3_par,-0.07461925608352375,0.00352422657730905,1414
PUNCT-FREE,wake_rel,6,surprisal,0.117426364922514,3.0486966515525084e-05,1414
PUNCT-FREE,wake_rel,6,ctee_m5,-0.026872667772276274,0.3373858598177354,1414
PUNCT-FREE,wake_rel,6,ntee_k100,0.13302088516454055,1.9974904194601206e-06,1414
PUNCT-FREE,wake_rel,7,tee3_perp,-0.08719295805816371,0.011563301282831355,1414
PUNCT-FREE,wake_rel,7,tee3_par,-0.07294602570887922,0.012535339632492004,1414
PUNCT-FREE,wake_rel,7,surprisal,0.1192144996861867,0.0011818056081220405,1414
PUNCT-FREE,wake_rel,7,ctee_m5,-0.025836107198124014,0.3565420641606135,1414
PUNCT-FREE,wake_rel,7,ntee_k100,0.11484685531873415,3.086604477716965e-05,1414
PUNCT-FREE,wake_rel,8,tee3_perp,-0.010024791475419067,0.7832051302599818,1414
PUNCT-FREE,wake_rel,8,tee3_par,-0.05638064591558623,0.04362455776023096,1414
